id,delivery_id,invoice_number,invoice_date,due_date,total_amount,status
90678701,80754604,INV-90678701,2025-05-16T00:00:00.000Z,2025-05-16T00:00:00.000Z,254,paid
90678700,80754603,INV-90678700,2025-05-16T00:00:00.000Z,2025-05-16T00:00:00.000Z,245.9,paid
90678699,80754602,INV-90678699,2025-05-16T00:00:00.000Z,2025-05-16T00:00:00.000Z,179,paid
90678698,80754601,INV-90678698,2025-05-16T00:00:00.000Z,2025-05-16T00:00:00.000Z,382.9,paid
90678696,80754574,INV-90678696,2025-05-16T00:00:00.000Z,2025-05-16T00:00:00.000Z,167,paid
90504300,80738110,INV-90504300,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
90504298,80738109,INV-90504298,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,533.05,paid
90504297,80738108,INV-90504297,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
90504295,80738106,INV-90504295,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
90504293,80738105,INV-90504293,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
90504292,80738104,INV-90504292,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
90504290,80738103,INV-90504290,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,216.1,paid
90504289,80738102,INV-90504289,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,216.1,paid
90504288,80738101,INV-90504288,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,205.93,paid
90504286,80738100,INV-90504286,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
90504285,80738099,INV-90504285,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
90504284,80738098,INV-90504284,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
90504283,80738097,INV-90504283,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
90504280,80738095,INV-90504280,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
